Prof_Course		Provided clearly defined expectations.	Used teaching methods that facilitated my own learning.	Encouraged me to take part in my own learning.	Was well prepared to take part in my own learning.	Was available outside of class either electronically or in person.	Is one whom I would recommend to other students.
"Cleaver,William:CHEM-1188-001-GENERAL CHEMISTRY I LABORATORY"	Mean	3.5	3	3	4	3.5	4
	N	2	2	2	2	2	2
"Clive,Mark:ART-4397-001-SPECIAL STUDIES FILM/VIDEO"	Mean	4	2	2	2.3333	2.5	2.3333
	N	3	3	3	3	2	3
"Clough,Tracey:ENGL-2329-002-AMERICAN LITERATURE"	Mean	4	4	4	4	4	4
	N	2	2	2	2	2	2
"Cobb,Norman:SOCW-6336-002-DIR PRACTICE IN MENTAL HEALTH"	Mean	4.9	4.9	4.3	5	4.9	5
	N	10	10	10	10	10	10
"Cobb,Norman:SOCW-6350-001-COGNITIVE-BEHAVIORAL INTERVENT"	Mean	4.3333	4.4444	4.4444	4.4444	4.5556	4.5556
	N	9	9	9	9	9	9
"Cobos,Geraldina:MAS-3312-001 & SPAN-3312-001-LATIN AM CULTURE/CIVILIZATION (2135-5W2-0007)"	Mean	3.8	3.4	3.8	4	3.2	3.6
	N	5	5	5	5	5	5
"Cobos,Geraldina:SPAN-3315-001-COMPOSITION THROUGH LITERATURE"	Mean	4	4	4	3		4
	N	1	1	1	1		1
"Cole,Stephanie:HIST-1311-002-HISTORY OF U.S."	Mean	4.1	4	4	4.4444	4.2222	3.7
	N	10	10	10	9	9	10
"Colin,Katherine:ART-3348-001-LIFE DRAWING"	Mean	4.3333	4	4	4.3333	4.3333	3.6667
	N	3	3	3	3	3	3
"Constantine,Candida:NURS-4455-501-RN-BSN NURSING MANAGEMENT"	Mean	4	4.25	4.5	4.5	4.25	4.5
	N	4	4	4	4	4	4
"Conway,Christopher:SPAN-4315-001-LATIN AMERICAN LIT II"	Mean	4.125	4	4.375	4.5	4.5714	4.125
	N	8	8	8	8	7	8
"Cope,Lynn:NURS-SS-2232-600-PROFESSIONAL NSG & LIFE SKILLS"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Copeland,Christopher:CRCJ-4333-001-INSTIT CORRECT"	Mean	4.6333	4.2667	4.4138	4.6	4.4667	4.4667
	N	30	30	29	30	30	30
"Corder,Andra:CHEM-1465-101-CHEMISTRY FOR ENGINEERS"	Mean	5	5	5	4.8	5	5
	N	5	5	5	5	4	5
"Corley,Herbert:IE-3315-001-OPERATIONS RESEARCH I"	Mean	4.5714	4.5714	4.4286	4.7143	4.3333	4.7143
	N	7	7	7	7	6	7
"Corley,Herbert:IE-5301-001-ADVANCED OPERATIONS RESEARCH"	Mean	4	3.75	4.25	4	4.5	4.25
	N	4	4	4	4	4	4
"Corley,Herbert:IE-5301-002-ADVANCED OPERATIONS RESEARCH"	Mean	5	4.6667	4.6667	5	4.6667	4.6667
	N	3	3	3	3	3	3
"Coursey,David:URPA-5302-001-URBAN RESEARCH AND ANALYSIS"	Mean	4	1	1	1	4	1
	N	1	1	1	1	1	1
"Coursey,Lauren:PSYC-3320-001-BEHAVIOR & MOTIVATION"	Mean	4.25	4.5833	4.3333	4.5	4.2727	4.5833
	N	12	12	12	12	11	12
"Courtney,Maureen:NURS-5305-001-ADULT MGMT ADV NURS PRAC I"	Mean	3.7143	3.2857	3.8571	3.5	3.3333	3.8571
	N	7	7	7	6	6	7
"Courtney,Maureen:NURS-5350-001-ROLE OF NURSE IN ADV PRACTICE"	Mean	2.4167	3	3.9167	3.4167	3.2727	2.4167
	N	12	12	12	12	11	12
"Cox,Heather:SOCW-6318-001-DIRECT PRACTICE WITH AGING"	Mean	3.7143	4.2857	4.5714	4	4.1429	3.8571
	N	7	7	7	7	7	7
"Crenshaw,Jeannette:NURS-5343-400-LEADERSHIP & HEALTH CARE SYS"	Mean	4.7	4.5	4.7	4.7778	4.5	4.625
	N	10	10	10	9	10	8
"Crisp,Earl:MANA-3325-001-ENTREPRENEUR I"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Crisp,Patricia:MANA-3320-001-PER/HUM RES MGT"	Mean	4	4.2	4.4	3.6	4	3.8
	N	5	5	5	5	5	5
"Crisp,Patricia:MANA-4328-001-HR STAFFING & PERFORMANCE MGMT"	Mean	4.3333	4.3333	4.3333	4.6667	4.3333	4.6667
	N	3	3	3	3	3	3
"Crow,Rebecca:HEED-3305-001 & WOMS-3305-001-WOMEN'S HEALTH ISSUES (2135-5W1-0005)"	Mean	5	5	4.6667	5	4.3333	5
	N	3	3	3	3	3	3
"Crowder,William:ECON-3303-001-MONEY & BANKING"	Mean	4.6667	4.6667	4.6667	4.3333	4	4.6667
	N	3	3	3	3	3	3
"Crowder,William:ECON-3312-001-MACROECONOMICS"	Mean	4.3333	3.6667	3.3333	4.6667	3.3333	4.3333
	N	3	3	3	3	3	3
"Cuntz,Manfred:ASTR-1446-001-INTRODUCTORY ASTRONOMY II"	Mean	3.8	3.2	4	3.75	3.4	3.2
	N	5	5	5	4	5	5
"Cuppett,Gregory:ARCH-4395-001-SELECTED TOPICS ARCH and INTS-4388-003-SPC TOP INTERDISCIPLINARY STDY and LARC-5350-001-LAND ARCH COMPUTER APP"	Mean	4.25	3.25	4.5	4.25	4.25	4
	N	4	4	4	4	4	4
"Cure,Kari:ENGL-1302-002-RHETORIC AND COMPOSITION II"	Mean	4.5	4.3333	4.6667	4.6667	4.1667	4.5
	N	6	6	6	6	6	6
"Davis,James:ASTR-1445-002-INTRODUCTORY ASTRONOMY I"	Mean	4.4286	3.8571	4	4.5714	4.1667	4.2857
	N	7	7	6	7	6	7
"Davis,James:ASTR-1446-002-INTRODUCTORY ASTRONOMY II"	Mean	4.3333	4.3333	4.3333	4.3333	4.3333	4.3333
	N	3	3	3	3	3	3
"Davis,Theresa:SOCW-6320-001-PERSONAL RELATIONSHIPS"	Mean	3.8824	4.1176	4.25	4.2941	4.0625	3.4118
	N	17	17	16	17	16	17
"Davis,Wendell:EE-5331-001-MICROWAVE SYSTEMS ENGINEERING"	Mean	4	4	4.5	4	4.5	4
	N	2	2	2	2	2	2
"Dayoub,Adam:CHEM-1451-101-CHEMISTRY FOR HEALTH SCIENCES"	Mean	4.8333	4.8333	5	4.6667	4.1667	5
	N	6	6	6	6	6	6
"Deal,Jeremy:CE-2331-001-ENGR MEASUREMENT/COMP MODELING"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Deal,Jeremy:CE-2331-002-ENGR MEASUREMENT/COMP MODELING"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Deb,Paromita:CHEM-1441-103-GENERAL CHEMISTRY I"	Mean	4	3	4	5		2
	N	1	1	1	1		1
"Del Carmen,Alejandro:CRCJ-4315-001-CRIM CAREERS"	Mean	3.5	3.8	3.5	3.4	3.5	3.6667
	N	10	10	10	10	10	9
"Del Carmen,Alejandro:CRCJ-4352-001-TERRORISM"	Mean	4.5	4.5	5	4.5	4.5	4.5
	N	2	2	2	2	2	2
"Del Carmen,Alejandro:CRCJ-5309-001-RESEARCH METHODS CRIM JUSTICE"	Mean	4.8333	4.6667	4.5	4.8333	4.8333	5
	N	6	6	6	6	6	6
"Del Carmen,Alejandro:CRCJ-5310-001-STATISTICS & RESEARCH CRIM JUS"	Mean	5	5	5	4.75	4.75	5
	N	4	4	4	4	4	4
"Del Carmen,Sara:CRCJ-3350-001-INTRO RESEARCH METHODS"	Mean	3.8	4	3.8	3.8	4.4	3.8
	N	5	5	5	5	5	5
"Deleon,John:MANA-4322-001-ORGANIZATIONAL STRATEGY"	Mean	5	4.75	5	5	5	5
	N	4	4	4	4	4	4
"Dellinger,Justin:HIST-1311-700-HISTORY OF U.S."	Mean	4.0732	3.9756	4.1463	4.225	4.1842	3.6829
	N	41	41	41	40	38	41
"Demuth,Jeffery:BIOL-2343-001-EVOLUTION & ECOLOGY"	Mean	4.875	4.75	4.75	4.875	4.8571	4.875
	N	8	8	8	8	7	8
"DeWitte,Debra:ART-1301-700-ART APPRECIATION"	Mean	4.5625	4.1333	4.125	4.3333	4.4667	4.4
	N	16	15	16	15	15	15
"Dhakal,Kamal:PHYS-1441-003-GENERAL COLLEGE PHYSICS I"	Mean	4.4444	3.8889	4.0588	4.6667	4.125	4.1111
	N	18	18	17	18	16	18
"Diakite,Ibrahim:MATH-3330-002-INTRO MATRICES/ LINEAR ALGEBRA"	Mean	4	4	4	4	4	4.5
	N	2	2	2	2	2	2
"Dihigo,Sharolyn:NURS-5306-001-PEDIATRIC MANAGEMENT ANP"	Mean	4.8	4.5714	4.5714	4.8095	4.619	4.5714
	N	20	21	21	21	21	21
"Dillard,Felicia:SPAN-1441-001-BEGINNING SPANISH I"	Mean	4.3333	4.3333	4.3333	4.6667	4.5	3.3333
	N	3	3	3	3	2	3
"Dillard,Felicia:SPAN-1441-002-BEGINNING SPANISH I"	Mean	4	5	5	5	5	5
	N	1	1	1	1	1	1
"Dillard,Felicia:SPAN-1442-001-BEGINNING SPANISH II"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Dillard,Felicia:SPAN-2314-001-INTERMEDIATE SPANISH II"	Mean	4.75	4.5	4.75	4.75	4.25	4.75
	N	4	4	4	4	4	4
"Dissanayake,Indika:BSTAT-3321-003-BUSINESS STATISTICS I"	Mean	4.5455	4.2727	4.4545	4.6364	4.6364	4.3636
	N	11	11	11	11	11	11
"Dobbs,Rhonda:CRCJ-3300-001-THEORETICAL CR"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Dobbs,Rhonda:CRCJ-3385-600-WOMEN AND CRIME"	Mean	5	4.5	5	5	4.5	4.5
	N	2	2	2	2	2	2
"Dobbs,Rhonda:CRCJ-5351-001-TERRORISM & CRIME"	Mean	4.8	4.6	4.8	4.8	4.75	4.8
	N	5	5	5	5	4	5
"Dockery,Bonita:SOCW-6336-001-DIR PRACTICE IN MENTAL HEALTH"	Mean	5	5	5	5	4.8	5
	N	10	10	10	10	10	10
"Dockery,Bonita:SOCW-6353-001/002-SEMINAR IN FAMILY THERAPY"	Mean	4.3636	4.5455	4.5455	4.3	4.6364	4.6364
	N	11	11	11	10	11	11
"Dombrowsky,Thomas:NURS-5301-005-RESEARCH IN NURSING"	Mean	4.75	4.75	5	4.75	5	5
	N	4	4	4	4	4	4
"Domingo,Pauline:FREN-1441-001-BEGINNING FRENCH I"	Mean	4	4.5	4.5	4.5	4	4.5
	N	2	2	2	2	1	2
"Donaldson,Cheryl:ARCH-2300-001-MSTRWKS WSTRN ARCH"	Mean	4.25	3.375	3.625	4	4.4286	4
	N	8	8	8	8	7	7
"Dong,Xiaoyang:MATH-1426-101-CALCULUS I"	Mean	4	4	4	4	4	4
	N	1	1	1	1	1	1
"Donjuan,Carlos:ART-2371-001-PAINTING"	Mean	4.6667	4.6667	4.6667	4.6667	4.6667	5
	N	3	3	3	3	3	3
"Dowdy,John:BLAW-3311-001-LAW I"	Mean	4.5	4.3333	3.8333	4.3333	4.3333	4.3333
	N	6	6	6	6	6	6
"Dowdy,John:BLAW-3312-001-LAW II"	Mean	4.8571	4.7143	4.7143	4.7143	4	4.8571
	N	7	7	7	7	7	7
"Dulaney,William:HIST-4370-001-AFRICAN AMERICANS IN THE WEST"	Mean	4.5	4	4.375	4.625	4.125	4.25
	N	8	8	8	8	8	8
"Dulock,Caleb:ART-2360-001-INTRO TO PHOTO CONCEPTS"	Mean	4.1538	4.0769	4.3077	4.6154	4.3846	4.0769
	N	13	13	13	13	13	13
"Dunn,Dana:SOCI-3334-001 & WOMS-3334-001-GENDER ROLES (2135-11W-0040)"	Mean	4	3.75	4.5	4.5	3.3333	3.75
	N	4	4	4	4	3	4
"Dunn,Dana:SOCI-3334-600-GENDER ROLES"	Mean	5	3.5	4.5	5	5	4.5
	N	2	2	2	2	2	2
"Eades,Tamara:NURS-4585-500-RN-BSN CAPSTONE"	Mean	4.3684	4.2105	4.5789	4.3684	4.4375	4.5
	N	19	19	19	19	16	18
"Eades,Tamara:NURS-4585-501-RN-BSN CAPSTONE"	Mean	4.2903	4.2903	4.5333	4.3333	4.2963	4.0357
	N	31	31	30	30	27	28
"Eakin,Mark:BSTAT-5325-001-ADVANCED STATISTICAL METHODS"	Mean	4.3333	4	4.3333	4.5	4.5	4.1667
	N	6	6	6	6	6	6
"Eakin,Mark:BSTAT-5325-020-ADVANCED STATISTICAL METHODS"	Mean	3.6667	3.6667	4.3333	5	5	3.3333
	N	3	3	3	3	3	3
"Earle,Brian:SCED-5356-005-LIFE SCI CYCLES & ECOSYSTEMS"	Mean	3.2632	3.7368	3.8421	3.6842	3.7778	3.5263
	N	19	19	19	19	18	19
"Eckhard,Michelle:NURS-5308-400-NURSING INFORMATICS"	Mean	4.8	4.8	4.8	4.2	4.8	5
	N	5	5	5	5	5	5
"Eddings,Patricia:CRCJ-3370-001-FORENSICS"	Mean	4.875	4.5	4.625	5	4.8571	4.875
	N	8	8	8	8	7	8
"Ellington,Patricia:MATH-1302-088 / 089-COLLEGE ALGEBRA (2135-11W-0022)"	Mean	5	4	4	5		4
	N	1	1	1	1		1
"Ellington,Patricia:MATH-1302-500 & 900 COLLEGE ALGEBRA"	Mean	3.4615	2.9167	2.7692	3.1538	2.9231	2.5
	N	13	12	13	13	13	12
"Elliott,A:FREN-4339-001 / GERM-4339-001 / SPAN-4339-001-ACQUISITION FR / GERM / SPAN (2135-5W1-0010)"	Mean	4.7778	4.1111	3.8889	4.7778	4.4444	4
	N	9	9	9	9	9	9
"Elliston,Ellen:SOCW-6325-001-ADVANCED MICRO PRACTICE"	Mean	4.4286	4.1429	4.2857	4.3571	4.3333	4.2143
	N	14	14	14	14	12	14
"Elmasri,Ramez:CSE-4331-001-DATABASE IMPLEMENTATION/THEORY & CSE-5331-001-DBMS MODELS AND IMPLEMENTATION (2135-11W-0003)"	Mean	3.8571	3.8571	4	4.1429	3.8571	4
	N	7	7	7	7	7	7
"England,Nancy:ENGL-2303-001-TOPICS IN LIT"	Mean	4.8	4.8	5	4.8	4.8	4.8
	N	5	5	5	5	5	5
"Epperson,James:MATH-5337-001-CONCEPTS/TECH IN CALCULUS"	Mean	4.8	4.8	5	4.8	5	5
	N	5	5	5	5	5	5
"Epperson,James:MATH-5392-003-SELECTED TOPICS IN MATH"	Mean	4.6	5	5	5	5	5
	N	5	5	5	4	5	5
"Esimai,Grace:BSTAT-3321-001-BUSINESS STATISTICS I"	Mean	4.1429	4.1429	4.1429	4.4286	4	4
	N	7	7	7	7	7	7
"Evans,Clifton:MUSI-1300-001-MUSIC APPRECIATION"	Mean	4.8571	4.7143	5	4.8571	4.7143	5
	N	7	7	7	7	7	7
"Eve,Raymond:SOCI-1311-700-INTRO TO SOCIO"	Mean	4.4286	3.8571	3.8333	4	3.7143	3.7143
	N	7	7	6	7	7	7
"Fain,John:ARCH-4395-001-SELECTED TOPICS ARCH and INST-4388-003-SPC TOP INTERDISCIPLINARY STDY and LARC-5350-001-LAND ARCH COMPUTER APP"	Mean	3	3	4	3	4	3
	N	1	1	1	1	1	1
"Fairbanks,Robert:HIST-3351-001-DFW METROPLEX"	Mean	4.1429	4.0714	4.6429	4.2857	4.4286	4.1538
	N	14	14	14	14	14	13
"Farmer,James:URPA-5321-001-URBAN MANAGEMENT"	Mean	3.4286	4	4.2857	3.7143	4	4
	N	7	7	7	7	7	7
"Fazleev,Nail:PHYS-1444-001-GENERAL TECHNICAL PHYSICS II"	Mean	4	3	3.5	4.5	3	3
	N	2	2	2	2	2	2
"Feigel,Gregory:FINA-3313-001-BUSINESS FINANCE"	Mean	3.1429	2.4286	3	3.1429	2.875	2.375
	N	7	7	7	7	8	8
"Feigel,Gregory:FINA-5329-001-PORTFOLIO & SECURITY ANALYSIS"	Mean	5	3	4	3	3	4
	N	1	1	1	1	1	1
"Fernandez,Raul:MAE-1350-001-GRAPHICS FOR ENGINEERS"	Mean	4	3	4.3333	3.3333	3.8333	3.1667
	N	6	6	6	6	6	6
"Fernandez,Raul:MAE-1350-002-GRAPHICS FOR ENGINEERS"	Mean	3.8	3.2	3.8	3.6	3.8	3.2
	N	5	5	5	5	5	5
"Fernandez,Raul:MAE-4188-001 / 002-DESIGN PROJECT LABORATORY II"	Mean	4.5	4.5	4.75	4.3333	4.75	4.75
	N	4	4	4	3	4	4
"Finch,Jan:SOCW-5303-002-FOUND OF SCIAL PLCY & SERVICES (2135-51444)"	Mean	4	3.7273	4	3.9091	4.1818	3.8182
	N	11	11	11	11	11	11
"Finch,Jan:SOCW-5303-006-FOUND OF SCIAL PLCY & SERVICES"	Mean	3.875	3.625	3.875	3.625	4.5	3.5
	N	8	8	8	8	8	8
"Finch,Jan:SOCW-6392-001-SELECTED TOPICS IN SOC WELFARE"	Mean	4.75	4.75	5	4.75	4.75	4.75
	N	4	4	4	4	4	4
"Fincher,Ada:KINE-5220-001-Prev Acute Care Tech"	Mean	4.75	4.75	4.75	4.75	4.5	4.75
	N	4	4	4	4	4	4
"Fincher,Ada:KINE-5420-001-Concepts in Athletic Training"	Mean	4.6	4.6	4.6	4.6	4.6	4.6
	N	5	5	5	5	5	5
"Fincher,Ada:KINE-5420-002-Concepts in Athletic Training"	Mean	4.6	4.6	4.6	4.6	4.4	4.6
	N	5	5	5	5	5	5
"Foglia,Dorothy:NURS-5339-400-ROLES/ FUNCTIONS NURS ADMINS"	Mean	4.5882	4.6471	4.6471	4.6471	4.7059	4.7059
	N	17	17	17	17	17	17
"Foglia,Dorothy:NURS-5340-401-MANAGEMENT SEMINAR & PRACTICE"	Mean	4.6364	4.4545	4.6	4.7273	4.6364	4.7273
	N	11	11	10	11	11	11
"Forgey,Fred:REAE-5311-001-REAL ESTATE ANALYSIS"	Mean	4	4.3333	4.5556	4.3333	4.5556	4.2222
	N	9	9	9	9	9	9
"Forgey,Fred:REAE-5315-060-REAL ESTATE TRENDS & ISSUES"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Forgey,Fred:REAE-5316-060-ADAPTIVE REUSE/REDEVELOPMENT"	Mean	5	4	4	5	5	4.5
	N	2	2	2	2	2	2
"Frank,Laura:SOCW-6343-001/002-Intimate Partner Violence"	Mean	3.9	3.6	3.7	3.6	3.5	3.5
	N	10	10	10	10	10	10
"Frederick,Lee:BIOL-2457-001-HUMAN ANATOMY & PHYSIOLOGY I"	Mean	4.5625	4.3125	4.375	4.75	4.5333	4.6875
	N	16	16	16	16	15	16
"Frederick,Lee:BIOL-2457-002-HUMAN ANATOMY & PHYSIOLOGY I"	Mean	4.7143	4.1429	4	4.4286	4.5	4.2857
	N	7	7	7	7	6	7
"Frederick,Lee:BIOL-2457-500-HUMAN ANATOMY & PHYSIOLOGY I"	Mean	4.6	4.6	4.8	4.8	4.5	4.6
	N	5	5	5	5	4	5
"Frederick,Lee:BIOL-2457-501-HUMAN ANATOMY & PHYSIOLOGY I"	Mean	4.75	4.75	4.5	4.75	4.6667	4.75
	N	4	4	4	4	3	4
"Frederick,Lee:BIOL-2458-500-HUMAN ANATOMY & PHYSIOLOGY II"	Mean	4.6667	4.6667	4.6667	4.6667	4.6667	4.6667
	N	3	3	3	3	3	3
"Frederick,Lee:BIOL-2458-501-HUMAN ANATOMY & PHYSIOLOGY II"	Mean	4	4	4	4	4	4
	N	2	2	2	2	2	2
"Freeman,Ericka:SOCW-2311-001-INTRO SOC WORK"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Freeman,Ericka:SOCW-2313-001-SW PRACTICE I"	Mean	5	5	5	5	5	5
	N	8	8	8	8	8	8
"Freling,Traci:MANA-5312-001-MANAGEMENT"	Mean	4.5	4.5	4.5	4.25	4.5	4.5
	N	4	4	4	4	4	4
"Freling,Traci:MARK-3321-003-PRINCIPLES OF MARKETING"	Mean	5	5	5	4.8	5	5
	N	5	5	5	5	5	5
"Freling,Traci:MARK-3324-001-BUYER BEHAVIOR"	Mean	4	3	4	3.25	3.3333	4
	N	4	3	4	4	3	4
"Freling,Traci:MARK-6390-001-TOPICS IN MARK"	Mean	5	5	5	4	5	5
	N	1	1	1	1	1	1
"Fuchs,Perry:BIOL / HEED / PSYC-3303-001-DRUGS AND BEHAVIOR (2135-5W1-0001)"	Mean	4.3077	4.4615	4.5385	4.5385	4.3077	4.5385
	N	13	13	13	13	13	13
"Fuchs,Perry:BIOL / HEED / PSYC-3303-001-DRUGS AND BEHAVIOR (2135-ISS-0001)"	Mean	4.9	5	5	5	5	5
	N	10	10	10	10	10	10
"Furr,Deana:NURS-3365-072-PHARMACOLOGY IN NURSING PRACTI"	Mean	4.2857	3.2857	3.8571	3.5714	3.8	3.2857
	N	7	7	7	7	5	7
"Furr,Deana:NURS-4441-600-NURSING: CHILDBEARING FAMILY"	Mean	4.6667	4.303	4.5455	4.5758	4.6774	4.6061
	N	33	33	33	33	31	33
"Furr,Deana:NURS-UL-3365-600-PHARMACOLOGY IN NURSING PRACTI"	Mean	4.3333	4	4.1111	4.3333	4.4286	4.125
	N	9	9	9	9	7	8
"Gale,Nathan:ENGL-1302-001-RHETORIC AND COMPOSITION II"	Mean	5	4.8571	4.8571	4.8571	4.8571	5
	N	7	7	7	7	7	6
"Galloway,Diane:EDML-4300-001-ADOLESCENT GROWTH/DEVELOPMENT"	Mean	4.4286	4.8571	4.8571	5	4.8571	4.8571
	N	7	7	7	7	7	7
"Garcia,Emmanuel:SPAN-2313-022-INTERMEDIATE SPANISH I"	Mean	5	5	5	5	4	5
	N	1	1	1	1	1	1
"Garcia,Emmanuel:SPAN-2314-022-INTERMEDIATE SPANISH II"	Mean	5	5	5	5	4	5
	N	1	1	1	1	1	1
"Garner,Rebecca:EXSA-1247-001-EXERCISE & WEIGHT MANAGEMENT"	Mean	4.25	3.75	4.5	4.6667	4.3333	4.25
	N	4	4	4	3	3	4
"Garrigus,John:HIST-2302-001-HIST OF CIVILIZATION"	Mean	4.5	4.25	4.75	5	4.5	4.25
	N	4	4	4	4	4	4
"Gaupp,Andrew:THEA-1342-001-THEATRE & FILM APPRECIATION"	Mean	4.8462	4.8462	4.7692	4.8462	4.3077	4.6154
	N	13	13	13	13	13	13
"Geedipally,Srinivas:CE-5300-001 / 002-TOPICS IN CIVIL ENGINEERING"	Mean	4	4	5	5	3.5	3
	N	2	2	2	2	2	2
"Ghadimkhani,Ghazaleh:CHEM-1442-101-GENERAL CHEMISTRY II"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Ghimire,Manoj:GEOL-1135-001-GEOLOGICAL LABORATORY & GEOL-1425-011-EARTH SYSTEMS"	Mean	3	3	3	2	3	2
	N	1	1	1	1	1	1
"Ghimire,Manoj:GEOL-1425-012-EARTH SYSTEMS"	Mean	3.3333	3	3	4	4	3.3333
	N	3	3	3	4	4	3
"Giampietro,Francis:ART-3341-001-SCULPTURE"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Gintole,George:ARCH-5593-001-DESIGN STUDIO III"	Mean	4.5	4.5	5	5	5	5
	N	2	2	2	2	2	2
"Goodwin,Rachel:MATH-1316-001-MATH ECON & BUS ANLYS"	Mean	5	5	4.8	5	5	5
	N	5	5	5	5	5	5
"Goral,Pawel:HIST-1311-001-HISTORY OF U.S."	Mean	3.6	4.4	4.6	4.4	4	3.8
	N	5	5	5	5	5	5
"Goral,Pawel:HIST-2302-001-HIST OF CIVILIZATION"	Mean	3.875	4	4	4.125	3.875	3.625
	N	8	8	8	8	8	8
"Gormus,Necmettin:FINA-3313-001-BUSINESS FINANCE"	Mean	4.9	4.8	4.9	4.7	4.7778	4.8
	N	10	10	10	10	9	10
"Gormus,Necmettin:FINA-3315-001-INVESTMENTS"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Graves,Shannon:SOCW-3303-003/004-SW POL & SERV"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Graves,Shannon:SOCW-5306-001-GENERALIST MACRO PRACTICE"	Mean	5	4.5	4.8333	5	5	4.8333
	N	6	6	6	6	6	6
"Green,Michelle:BIOL-2458-008-HUMAN ANATOMY & PHYSIOLOGY II"	Mean	5	5	5	5	4.75	5
	N	4	4	4	4	4	4
"Gustafson,Kevin:ENGL-5337-001-SEMINAR IN TEACHING LITERATURE"	Mean	4.1111	3.8889	4.3333	4.5556	4.6667	4.2222
	N	9	9	9	9	9	9
"Gutierrez,Jose:MAS-4319-001 & POLS-4319-001-POLITICS OF MEXICAN AMERICANS"	Mean	4.75	4.75	4.75	4.75	4.75	4.75
	N	4	4	4	4	4	4
"Haji-Sheikh,Abdolhossein:MAE-3314-001-HEAT TRANSFER"	Mean	2.75	1.75	2.25	3	3.5	2.25
	N	4	4	4	4	4	4
"Hall,David:HCAD-5306-050-HEALTHCARE MANAGERIAL ACCT"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Hamann,Darla:URPA-5351-001-PUBLIC HUMAN RESOURCES"	Mean	4.0909	4.0909	4.1818	4.6364	4.5455	4.3636
	N	11	11	11	11	11	11
"Hamilton,Shelley:MATH-1308-088-ELEM STATISTICAL ANALYSIS"	Mean	3.7778	3.5556	2.875	3.625	2.7778	2.6667
	N	9	9	8	8	9	9
"Hamilton,Shelley:MATH-1308-098-ELEM STATISTICAL ANALYSIS"	Mean	4.3333	4	4	4.5	3	4.6667
	N	3	4	4	4	4	3
"Hamilton,Shelley:MATH-1308-500-ELEM STATISTICAL ANALYSIS"	Mean	4.2	3.72	3.52	4.0833	3.5833	3.7917
	N	25	25	25	24	24	24
"Han,Chien-Pai:MATH-1308-001-ELEM STATISTICAL ANALYSIS"	Mean	2.8	1.6	1.8	2.8	3.4	2
	N	5	5	5	5	5	5
"Han,Zhen:MAE-1312-001-ENGINEERING STATICS"	Mean	4.5	4.75	4.25	4.75	4.5	4.5
	N	4	4	4	4	4	4
"Han,Zhen:MAE-2314-001-FLUID MECHANICS I"	Mean	3.8	4	4	4.6	4.2	4.2
	N	5	5	5	5	5	5
"Hardy,James:EDAD-6315-001-ADVANCED STATISTICAL METHODS"	Mean	4.3333	4	4.3333	4	4.8333	4.2
	N	6	6	6	5	6	5
"Hargreaves,Jean:KINE-4319-001-INTEGRATION OF FITNESS PRCPLS"	Mean	4.8571	4.7143	4.8571	4.8571	4.7143	4.8571
	N	7	7	7	7	7	7
"Harris,Christopher:MANA-5337-001-ETHICS & BUSINESS ENVIRONMENT"	Mean	3.6667	3.3333	4.25	4.0833	3.8	3.4167
	N	12	12	12	12	10	12
"Harris,Christopher:MANA-5340-001-STRATEGIC HUMAN RESOURCE MNGMT"	Mean	4	4	5	4.5	4.5	4.5
	N	2	2	2	2	2	2
"Harrison,Lonny:GLOBAL-2301-001-INTRO TO GLOBAL ISSUES"	Mean	4	4.25	4.25	4.5	4.25	4.5
	N	4	4	4	4	4	4
"Harrison,Magdalena:GLOBAL-3301-001-INTERNATIONAL CULT & CIV I"	Mean	4.25	4.5	4.75	4.5	4.5	4.75
	N	4	4	4	4	4	4
"Harrison,Magdalena:HIST-4388-005-SELECTED TOPICS IN HISTORY"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Hartzell,Meredith:PSYC-3318-001-ABNORMAL PSYCHOLOGY"	Mean	3.3333	3.8333	3.8333	4	4.4	3.8333
	N	6	6	6	6	5	6
"Harvey,Sabine:GERM-1442-001-BEGINNING GERMAN II"	Mean	4.4286	4.2857	4.4286	4.4286	4.4286	4.4286
	N	7	7	7	7	7	7
"Hasan,Md:CE-2311-001-STATICS"	Mean	5	5	2	5	4	5
	N	1	1	1	1	1	1
"Hasan,Md:CE-2311-002-STATICS"	Mean	5	5	4	5	3	4
	N	1	1	1	1	1	1
"Hawkins,Doyle:MATH-5392-001-SELECTED TOPICS IN MATH"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
